Date,Year,Month Number,DayNum,WeekNum,total,WeekDay
2017-03-30 00:00:00,2017,3,30,13,10.28900009393692,5
2017-03-31 00:00:00,2017,3,31,13,26.94340008497238,6
2017-04-01 00:00:00,2017,4,1,13,37.41500034928322,7
2017-04-02 00:00:00,2017,4,2,14,4.200999975204468,1
2017-04-03 00:00:00,2017,4,3,14,0,2
2017-04-04 00:00:00,2017,4,4,14,10.39699986577034,3
2017-04-05 00:00:00,2017,4,5,14,12.6839998960495,4
2017-04-06 00:00:00,2017,4,6,14,7.358999848365784,5
2017-04-07 00:00:00,2017,4,7,14,13.436299562454224,6
2017-04-08 00:00:00,2017,4,8,14,34.37300020456314,7
2017-04-09 00:00:00,2017,4,9,15,16.883999943733215,1
2017-04-10 00:00:00,2017,4,10,15,18.32170009613037,2
2017-04-11 00:00:00,2017,4,11,15,26.1389998793602,3
2017-04-12 00:00:00,2017,4,12,15,19.09799987077713,4
2017-04-13 00:00:00,2017,4,13,15,71.09700033068657,5
2017-04-14 00:00:00,2017,4,14,15,52.44999974966049,6
2017-04-15 00:00:00,2017,4,15,15,30.69399982690811,7
2017-04-16 00:00:00,2017,4,16,16,6.53600013256073,1
2017-04-17 00:00:00,2017,4,17,16,10.672000020742416,2
2017-04-18 00:00:00,2017,4,18,16,12.659900158643723,3
2017-04-19 00:00:00,2017,4,19,16,4.177999943494797,4
2017-04-20 00:00:00,2017,4,20,16,14.948999971151352,5
2017-04-21 00:00:00,2017,4,21,16,16.752999782562256,6
2017-04-22 00:00:00,2017,4,22,16,15.051000118255615,7
2017-04-23 00:00:00,2017,4,23,17,33.13999977707863,1
2017-04-24 00:00:00,2017,4,24,17,12.32999986410141,2
2017-04-25 00:00:00,2017,4,25,17,44.380299776792526,3
2017-04-26 00:00:00,2017,4,26,17,9.600000113248825,4
2017-04-27 00:00:00,2017,4,27,17,10.410599827766418,5
2017-04-28 00:00:00,2017,4,28,17,17.962999939918518,6
2017-04-29 00:00:00,2017,4,29,17,44.12300023436546,7
2017-04-30 00:00:00,2017,4,30,18,22.225900411605835,1
2017-05-01 00:00:00,2017,5,1,18,25.8439998626709,2
2017-05-02 00:00:00,2017,5,2,18,2.5089999437332153,3
2017-05-03 00:00:00,2017,5,3,18,24.627999424934387,4
2017-05-04 00:00:00,2017,5,4,18,17.235999882221222,5
2017-05-05 00:00:00,2017,5,5,18,24.135800153017044,6
2017-05-06 00:00:00,2017,5,6,18,23.49700003862381,7
2017-05-07 00:00:00,2017,5,7,19,12.549000173807144,1
2017-05-08 00:00:00,2017,5,8,19,10.07700002193451,2
2017-05-09 00:00:00,2017,5,9,19,20.816000014543533,3
2017-05-10 00:00:00,2017,5,10,19,21.553999662399292,4
2017-05-11 00:00:00,2017,5,11,19,27.913999885320663,5
2017-05-12 00:00:00,2017,5,12,19,45.43400019407272,6
2017-05-13 00:00:00,2017,5,13,19,23.1139996945858,7
2017-05-14 00:00:00,2017,5,14,20,28.14500018954277,1
2017-05-15 00:00:00,2017,5,15,20,6.9070000648498535,2
2017-05-16 00:00:00,2017,5,16,20,16.18999993801117,3
2017-05-17 00:00:00,2017,5,17,20,5.579000070691109,4
2017-05-18 00:00:00,2017,5,18,20,16.718999922275543,5
2017-05-19 00:00:00,2017,5,19,20,16.69299989938736,6
2017-05-20 00:00:00,2017,5,20,20,48.80320021510124,7
2017-05-21 00:00:00,2017,5,21,21,32.12700006365776,1
2017-05-22 00:00:00,2017,5,22,21,10.118000090122223,2
2017-05-23 00:00:00,2017,5,23,21,26.466000020503998,3
2017-05-24 00:00:00,2017,5,24,21,22.597000062465668,4
2017-05-25 00:00:00,2017,5,25,21,16.33089989423752,5
2017-05-26 00:00:00,2017,5,26,21,22.35600021481514,6
2017-05-27 00:00:00,2017,5,27,21,67.35350082814693,7
2017-05-28 00:00:00,2017,5,28,22,23.897999674081802,1
2017-05-29 00:00:00,2017,5,29,22,14.761299729347229,2
2017-05-30 00:00:00,2017,5,30,22,16.406399965286255,3
2017-05-31 00:00:00,2017,5,31,22,18.15099996328354,4
2017-06-01 00:00:00,2017,6,1,22,24.20600038766861,5
2017-06-02 00:00:00,2017,6,2,22,43.417000472545624,6
2017-06-03 00:00:00,2017,6,3,22,56.61000022292137,7
2017-06-04 00:00:00,2017,6,4,23,87.72500029206276,1
2017-06-05 00:00:00,2017,6,5,23,51.92700016498566,2
2017-06-06 00:00:00,2017,6,6,23,18.844999879598618,3
2017-06-07 00:00:00,2017,6,7,23,20.74800008535385,4
2017-06-08 00:00:00,2017,6,8,23,38.27100007236004,5
2017-06-09 00:00:00,2017,6,9,23,67.85139958560467,6
2017-06-10 00:00:00,2017,6,10,23,75.76300007104874,7
2017-06-11 00:00:00,2017,6,11,24,66.09499990940094,1
2017-06-12 00:00:00,2017,6,12,24,29.804999619722366,2
2017-06-13 00:00:00,2017,6,13,24,52.266899794340134,3
2017-06-14 00:00:00,2017,6,14,24,72.77180024981499,4
2017-06-15 00:00:00,2017,6,15,24,78.71399971842766,5
2017-06-16 00:00:00,2017,6,16,24,43.522999972105026,6
2017-06-17 00:00:00,2017,6,17,24,102.72099968791008,7
2017-06-18 00:00:00,2017,6,18,25,48.85799989104271,1
2017-06-19 00:00:00,2017,6,19,25,33.938000082969666,2
2017-06-20 00:00:00,2017,6,20,25,54.845999985933304,3
2017-06-21 00:00:00,2017,6,21,25,26.81499993801117,4
2017-06-22 00:00:00,2017,6,22,25,40.15399983525276,5
2017-06-23 00:00:00,2017,6,23,25,30.50199982523918,6
2017-06-24 00:00:00,2017,6,24,25,90.42909990251064,7
2017-06-25 00:00:00,2017,6,25,26,47.043999791145325,1
2017-06-26 00:00:00,2017,6,26,26,4.762999951839447,2
2017-06-27 00:00:00,2017,6,27,26,32.8079999089241,3
2017-06-28 00:00:00,2017,6,28,26,23.2280001193285,4
2017-06-29 00:00:00,2017,6,29,26,25.59399989247322,5
2017-06-30 00:00:00,2017,6,30,26,17.853000164031982,6
2017-07-01 00:00:00,2017,7,1,26,26.50620025396347,7
2017-07-02 00:00:00,2017,7,2,27,47.136000007390976,1
2017-07-03 00:00:00,2017,7,3,27,27.862800002098083,2
2017-07-04 00:00:00,2017,7,4,27,35.658999979496,3
2017-07-05 00:00:00,2017,7,5,27,18.702999979257584,4
2017-07-06 00:00:00,2017,7,6,27,25.492000192403793,5
2017-07-07 00:00:00,2017,7,7,27,51.73700004816055,6
2017-07-08 00:00:00,2017,7,8,27,70.32179963588715,7
2017-07-09 00:00:00,2017,7,9,28,41.902000069618225,1
2017-07-10 00:00:00,2017,7,10,28,46.337799817323685,2
2017-07-11 00:00:00,2017,7,11,28,27.201800167560577,3
2017-07-12 00:00:00,2017,7,12,28,19.481999933719635,4
